COMPANY CODE,BISNIS AREA,AFD,LONGITUDE,LATITUDE,DATE,TIME,WX,TEMPERATURE,WIND SPEED,WIND DIRECTION
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,8:00 PM,hujan ringan,29,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,11:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,2:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,5:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,8:00 AM,cerah berawan,24,9,B
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,11:00 AM,cerah berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,2:00 PM,cerah berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,5:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,8:00 PM,berawan,32,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,11:00 PM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,16/1/2024,8:00 AM,berawan,25,8,TL
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,16/1/2024,11:00 AM,hujan ringan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,16/1/2024,2:00 PM,hujan ringan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,16/1/2024,5:00 PM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,16/1/2024,8:00 PM,berawan,29,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,16/1/2024,11:00 PM,hujan sedang,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,2:00 AM,hujan ringan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,5:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,8:00 AM,berawan,24,10,U
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,11:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,2:00 PM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,5:00 PM,hujan ringan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,8:00 PM,berawan,29,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,11:00 PM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,18/1/2024,2:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,18/1/2024,5:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,18/1/2024,8:00 AM,berawan,23,10,TL
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,18/1/2024,11:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,18/1/2024,2:00 PM,cerah berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,18/1/2024,5:00 PM,cerah berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,18/1/2024,8:00 PM,cerah berawan,32,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,18/1/2024,11:00 PM,cerah berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,19/1/2024,2:00 AM,cerah berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,19/1/2024,5:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,19/1/2024,8:00 AM,berawan,25,7,TL
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,19/1/2024,11:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,19/1/2024,2:00 PM,hujan ringan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,19/1/2024,5:00 PM,hujan sedang,0,0,0
